Catalog_Number,Match_Ranking,Resource_Name,Abbreviated_Citation,Perceived_Impact,Developer_Sector,Stream_type_requirements,Geographic_applicability,Adaptable_to_other_locations,Agency_or_organization,Year_of_publication_or_latest_update,Assessment_Class,Hydrology,Hydraulics,Geomorphology,Physicochemical,Biology,Biology_and_Stream_Habitat,Connectivity_Aquatic_Organism_Passage,Stream_Habitat,Riparian_Zone,Variability,Stream_Classification,Time_Required_Tasks_only,Training_Needed,Location_of_Assessment,Tier_of_analysis,Input_Data_Type,Output_Data_Type,Data_Availability,Reference_Required,Performance_Standards_or_Reference_Curves_Used,Programmatic_Applications,Region_of_development_application,State_of_development_application,USACE_Division_use,USACE_District_use,URL_for_tool_or_data_storage,URL_for_user_guide,Notes,Long_Citation,Introductory_Description
82,82,"USACE Charleston District, Standard Operating Procedure:
Compensatory Mitigation",USACE 2002,Medium,Public,All streams,SC,Yes,USACE,2002,Protocol,-,-,S,-,S,S,-,S,-,-,-,"Hours,Days","Low,Medium",Field,"T1,T2",Field data,"Index, Data",No,Yes,Yes,CWA 404,-,SC,-,Charleston District,-,https://www.sas.usace.army.mil/Portals/61/docs/regulatory/Mitigation_Comp_SOP.pdf,2002 guidelines are no longer in use. Refer to 2010 updated version.,"USACE Savannah District, 2003. Draft Standard Operating Procedure Compensatory Mitigation Wetlands, Open Water & Streams (July 2003), U.S. Army Corps of Engineers, Savannah District, Savannah, GA."," This Standard Operating Procedure (SOP) is applicable to regulatory actions requiring compensatory mitigation for adverse impacts to 10 acres or less of wetland or other open waters, and/or 5000 linear feet or less of intermittent and/or perennial stream."
83,83,Charleston District Mitigation Guidelines,USACE 2011a,Medium,Public,All streams,SC,Yes,USACE,2011,Protocol,-,RE,RE,-,DC,DC,-,-,RE,-,-,Hours,"Low,Medium",Field,"T1,T2",Field data,"Index, Data",No,No,Yes,CWA 404,-,SC,-,Charleston District,https://www.mvk.usace.army.mil/Portals/58/docs/regulatory/Charleston%20Method%202010%20Guidelines.pdf,https://www.mvk.usace.army.mil/Portals/58/docs/regulatory/Charleston%20Method%202010%20Guidelines.pdf,-,"District, USACE Charleston. ""Guidelines for Preparing a Compensatory Mitigation Plan."" Charleston, South Carolina (2010).","Interim GA SQT is used in the method.  One of the primary goals of these regulations was to improve the quality and success of compensatory mitigation plans that are designed and implemented to offset impacts to aquatic resources authorized by Department of the Army permits.  The Mitigation Rule emphasizes the strategic selection of compensatory mitigation sites on a watershed basis and established equivalent standards for all three types of compensatory mitigation (mitigation banks, in-lieu fee programs, and permittee-responsible mitigation plans)."
84,84,Functional Assessment Approach for High Gradient Streams: West Virginia,USACE 2007,Medium,Public,high gradient headwater streams in West Virginia,WV,No,USACE,2007,Method,S,-,S,S,S,S,-,-,-,-,-,Hours,Low,Field,T2,Field data,Index,No,No,Yes,CWA 404,WV,WV,-,-,-,document no longer publicly available,-,-,.
85,85,Stream Inventory Handbook: Level I & II,USFS 2016,Medium,Public,All streams,Pacific Northwest,Yes,USFS,2016,Protocol,S,-,S,RE,S,S,-,S,S,-,-,Days,Low,"Field, office","T1, T2","Field and non-field data, GIS",Categorical or descriptive,Yes,No,No,Inventory,Pacific Northwest,OR and WA (Northwest),-,-,-,https://www.fs.usda.gov/emc/rig/documents/protocols/Stream-Inventory-Handbook-Level-I-II.pdf,USFS Region 6. The data collected during Stream Inventory is entered and stored in the Natural Resource Manager (NRM) Aquatic Survey (AqS) database.,-,.
86,86,"Aquatic Inventories Project Methods for Stream Habitat Surveys (Methods for Stream Habitat Surveys -
Oregon Department of Fish and Wildlife)",Oregon DFW (Moore et al.) 2008,Medium,Public,All streams,Oregon,Yes,Oregon DFW,2008,?,S,S,S,RE,S,S,-,S,S,-,-,Days,Low,"Field, office","T1, T2",Field and non-field data,"Data, Descriptions",No,No,No,Inventory,Pacific Northwest,Oregon,-,-,-,http://www.science.oregonstate.edu/~madsenl/TIESNA2009/Habitat_protocol.pdf,-,-,.
87,87,A Manual of Procedures for Sampling Surface Waters,Arizona DEQ 2005,Medium,Public,All streams,Arizona,Yes,AZ Department of EvnironmentArizona Quality,2005,Procedure,RE,DC,DC,DC,DC,DC,-,DC,?,-,-,Days,Medium,"Field, office","T1, T2",Field and non-field data,"Data, Descriptions",No,No,Optional for assistance with estimating,.,Arizona,AZ,-,-,-,https://www.waterboards.ca.gov/water_issues/programs/tmdl/records/region_7/2008/ref2445.pdf,-,-,.
88,88,Fish and Fish Habitat Standard Inventory Procedures Handbook (R1/R4 Northern /Intermountain Regions) ,USFS (Overton) 1997,Medium,Public,,,,USFS,1997,,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,Northern Region (R1) and Intermountain Region (R4) of the USFS,"WA, OR, ID, MT, ND, SD, WY, UT, NV, CA",-,-,-,http://www.fs.fed.us/rm/pubs_int/int_gtr346.pdf,-,-,Handbook for standard inventory procedures for collecting fish habitat + salmonid fish species data in streams. Mostly focuses on fish habitat structure and variables.
89,89,PIBO Effectiveness Monitoring Sampling Methods for Stream Channel Attributes ,USFS (Saunders et al (2019)),Medium,Public,All streams,"interior Columbia River Missouri River basins on lands managed by U.S. Forest Service (FS) Regions 1, 4, and 6 and the Idaho and Oregon/Washington State Offices of the Bureau of Land Management (BLM)",No,Multiple agencies,2019,Protocol,S,RE,RE,DC,RE,RE,-,S,-,-,-,Days,Low,Field,T2,Field data,"Data, Descriptions",No,No,No,.,"interior Columbia River Missouri River basins on lands managed by U.S. Forest Service (FS) Regions 1, 4, and 6 and the Idaho and Oregon/Washington State Offices of the Bureau of Land Management (BLM)","WA, OR, ID, MT, NV, WY, CA",-,-,-,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/fseprd834380.pdf,-,"PACFISH/INFISH Biological Opinion Monitoring Program (PIBO) Staff Multi-federal Agency Monitoring Program; Logan, UT Saunders, W.C.; Ojala, J.V.; Van Wagenen, A.; Haynes, D ; Archer, E.K.; and Henderson, R. 2019. PacFish InFish Biological Opinion (PIBO) Monitoring Program: Effectiveness Monitoring Sampling Methods for Stream Channel Attributes. Unpublished paper on file with PIBO Monitoring Program. ","Primary objective is to determine whether biology, physical attributes, processes, and functions of riparian + aquatic systems are being degraded, maintained, or restored in the monitoring area"
90,90,Physical Habitat of Aquatic Ecosystems: Habitat Assessment (Texas),TCEQ (2014),Medium,Public,primarily wadeable freshwater streams,TX,Yes,TCEQ,2014,Protocol,S,S,S,-,-,-,-,-,-,-,-,Hours,Low,Field,T2,Field data,"Data, Descriptions",No,No,No,,,TX,-,-,-,https://www.tceq.texas.gov/downloads/publications/rg/chapter-9-rg-416.pdf,"TCEQ Water Quality Monitoring website:
https://www.tceq.texas.gov/publications/rg/rg-416",-,.
91,91,Guidelines for Evaluating Fish Habitat in Wisconsin Streams,USFS (Simonson et al) 1993,Medium,Public,Permanent wadeable streams,Wisconsin and nearby states,Yes,USFS,1993,Protocol,RE,-,RE,DC,-,-,-,-,-,-,.,Hours,Low,Field,T2,Field data,Data,No,No,No,,,Wisconsin,-,-,-,https://www.fs.usda.gov/research/treesearch/10228,-,-,.
92,92,Wisconsin's Consolidated Assessment and Listing Methodology (WisCALM),Wisconsin Department of Natural Resources (2024),?,Public,All streams,WI,?,Wisconsin DNR,2024,Protocol,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Field data,Categorical or descriptive,.,.,Mentions reference conditions,,,Wisconsin,-,-,-,https://dnr.wisconsin.gov/topic/SurfaceWater/WisCALM.html,-,-,.
93,93,Field Operations Manual for Assessing the Hydrologic Permanence and Ecological Condition of Headwater Streams,U.S. EPA (Frtiz et al. (2006)),Medium,Public,All streams,"IN, KY, OH",Yes,EPA,2006,?,RE,S,RE,DC,RE,RE,-,-,-,-,.,Hours,Low,Field,T2,Field data,"Index, data",No,No,No,Inventory,"Forested temperate regions (study sites located in Indiana, Illinois, Kentucky, Ohio, New Hampshire,
New York, Vermont, Washington, and West Virginia)","Indiana, Kentucky, and Ohio",-,-,-,https://www.epa.gov/sites/default/files/2015-11/documents/manual_for_assessing_hydrologic_permanence_-_headwater_streams.pdf,-,-,.
94,94,Physical Habitat and Water Chemistry Assessment Protocol for Wadeable Streams Monitoring Sites,MPCA 2002,Medium,Public,.,.,.,.,2002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,MN,.,.,.,http://www.pca.state.mn.us/water/biomonitoring/bio-streams-fish.html#sops,-,-,.
95,95,A Physical Habitat Index for Freshwater Wadeable Streams in Maryland,Vermont Agency of Natural Resources (Paul et al.) (2002),Medium,Public,.,.,.,"Tetra Tech, Inc., Maryland Department of Natural Resources, Monitoring and Non-Tidal Assessment, and Versar, Inc.",2002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,MD,.,.,.,http://www.dnr.state.md.us/streams/mbss/mbss_pubs.html#technical,-,-,.
96,96,"Watershed Assessment of River Stability and Sediment Supply
(WARSSS)",Rosgen (2007),Medium,Public,.,Nationwide,.,Wildland Hydrology,2007,Method,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,nationwide,.,.,.,https://safe.menlosecurity.com/doc/docview/viewer/docN7418F33E417E3ddbc033a214d636378b808099767c24a92a7161fbb507ab8376a7d2092ac274,-,-,.
97,97,Wadeable Stream Assessment: Field Operations Manual,U.S. EPA (2019),Medium,Public,.,Nationwide,.,EPA,2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,https://www.epa.gov/sites/default/files/2019-05/documents/nrsa_1819_fom_wadeable_version_1.2_0.pdf,-,-,.
98,98,"Methods for Evaluating Stream, Riparian, and Biotic Conditions",USFS (Platts et al. (1983)),Medium,Public,All streams,"Idaho, Utah, Nevada",Yes,USFS,1983,Method,RE,-,RE,DC,DC,DC,-,S,S,-,.,Hours-days,Low,Field,T2,Field data,"Index, data",No,No,No,.,"Idaho, Utah, Nevada",.,.,.,.,https://www.fs.usda.gov/research/treesearch/29138,-,-,
99,99,Environmental Monitoring and Assessment Program (EMAP) Physical Habitat Characterization,Kaufmann et al. (1999),Medium,Public,.,Nationwide,.,Multiple agencies,1999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,nationwide,.,.,.,https://safe.menlosecurity.com/doc/docview/viewer/docN54418194C4364973d58ffc1d233e4ad512610cee3acea05b504966af26b3f62a7cdbd5ba7ff8,"EPA, OAO Corp, Oregon Dept. Forestry","Kaufmann, P.R, P. Levine, E.G. Robison, C. Seeliger, and D.V. Peck. 1999.
Quantifying Physical Habitat in Wadeable Streams. EPA/620/R-99/003. U.S.
Environmental Protection Agency, Washington, D.C.",.
100,100,"Revised Methods for Characterizing Stream Habitat in the
National Water Quality Assessment Program (NAWQA)",USGS (Fitzpatrick et al. (1998)),Medium,Public,.,Nationwide,.,USGS,1998,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,nationwide,.,.,.,http://pubs.usgs.gov/wri/wri984052/,-,-,.
101,101,New England District Compensatory Mitigation Guidelines,USACE 2016a,Medium,Public,.,.,.,USACE,2016,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Maine, New Hampshire, Massachusetts, Conneticut, Rhode Island, Vermont",North Atlantic Division,New England District,.,https://www.justice.gov/sites/default/files/enrd/pages/attachments/2016/09/28/us_v._fkt_resort_management_llc_et_al_notice_of_lodging_with_proposed_cd_part_2.pdf,guidance on mitigation (based on use of ratios),-,.
102,102,Pennsylvania Riverine Condition Level 2 Rapid Assessment,"Pennsylvania Department of Environmental Protection, 2016",Medium,Public,.,.,.,PA DEP,2016,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Pennsylvania,Great Lakes and Ohio River Division,Pittsburgh District,.,https://files.dep.state.pa.us/PublicParticipation/Advisory%20Committees/AdvCommPortalFiles/WRAC/2016/092116/310-2137-003.pdf,PA DEP rapid assessment,-,.
103,103,Kansas Stream Assessment Guidance,USACE 2018a,Medium,Public,.,.,.,USACE,2018,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Kansas City Regulatory District,Kansas,NW Division,Kansas City,.,https://usace.contentdm.oclc.org/utils/getfile/collection/p16021coll11/id/2940 ,-,-,qualitative assessment with stream credit/debit calculator. Worksheets. 
104,104,Wetland Mitigation Banking in North Dakota Interagency Guidance for Mitigation Bank Sponsors,"North Dakota Interagency Review Team (NDIRT), 2015",Medium,Public,.,.,.,NDIRT,2015,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,North Dakota,NW Division,Omaha District,.,https://www.legis.nd.gov/files/committees/65-2017/19_5111_03000appendixm.pdf,ratios to determine credits/debits,-,.
105,105,Montana Stream Mitigation Procedure,USACE 2013,Medium,Public,.,.,.,USACE,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Montana,NW Division,Omaha District,.,https://usace.contentdm.oclc.org/digital/api/collection/p16021coll11/id/2675/download,-,-,"scoring sheets. Credit/debit calculator, not based on function assessment"
106,106,Nebraska Stream Condition Assessment Procedure (NeSCAP),USACE 2012,Medium,Public,.,.,.,USACE,2012,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nebraska,NW Division,Omaha District,.,https://usace.contentdm.oclc.org/digital/api/collection/p266001coll1/id/7838/page/0/inline/p266001coll1_7838_0,-,-,.
107,107,Rapid Stream Riparian Assessment Method,USACE 2017b,Medium,Public,.,.,.,USACE,2017,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Arizona,South Pacific Division,Los Angeles District,could not locate,could not locate,-,-,.
108,108,Rapid Assessment of the Functional Condition of Stream-Riparian Ecosystems in the American Southwest,Stacey et al. 2021,Medium,Private,.,.,.,Wild Utah Project,2021,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,https://safe.menlosecurity.com/doc/docview/viewer/docN37AC1772F1B48801657df8d802e12045b878c29fa50d1e000d80cb708725879af697aa3e8efe,-,-,.
109,109,New Mexico ratio checklist,USACE 2017b,Medium,Public,.,.,.,USACE,2017,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,New Mexico,South Pacific Division,Albuquerque District,could not locate,could not locate,no formalized stream assessment method in NM,-,.
110,110,New Mexico Rapid Assessment Method for Montane River Wetlands (NMRAM),Muldavin et al. 2011,Medium,"Public, Private, Academia",.,.,.,Multiple agencies,2011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,New Mexico,.,.,.,https://www.env.nm.gov/surface-water-quality/wp-content/uploads/sites/18/2022/03/NMRAM-Manual_v2_0_Final-for-Website.pdf,remotely assessed metrics (L1) and field-assessed metrics (L2),-,.
111,111,Galveston District Level I Stream Assessment Method,USACE 2013,Medium,Public,.,.,.,USACE,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Texas,Southwest Division,Galveston District,.,https://www.swg.usace.army.mil/Portals/26/Level%201%20June%202013.pdf,"Method 1 (Visual Channel Assessment, Riparian Buffer Assessment, In-Stream Habitat Assessment, Visual Channel Alteration Assessment)",-,.
112,112,Galveston District Level II Stream Assessment Method,USACE 2014,Medium,Public,.,.,.,USACE,2014,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Texas,Southwest Division,Galveston District,.,https://www.swg.usace.army.mil/Portals/26/docs/regulatory/Streams/Interim%20Level%202.pdf,"Method 2 (Bank erosion hazard index (BEHI), ripairan buffer assessment, in-stream macroinveertebrate observaitons, IBI for fish assemblages, visual channel alteration assessment)",-,.
113,113,Tulsa District Aquatic Resource Mitigation and Monitoring Guidelines,USACE,Medium,Public,.,.,.,USACE,2004,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Oklahoma,Southwest Division,Tulsa District,.,https://www.swt.usace.army.mil/Portals/41/docs/missions/regulatory/mitigation/MMG.pdf,ratio based method,-,.
114,114,RGL 2002-02,"USACE, 2002",Medium,Public,.,.,.,USACE,2002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,New York and New Jersey,North Atlantic Division,New York District,https://www.epa.gov/cwa-404/2002-mitigation-regulatory-guidance-letter-rgl-02-2,https://www.epa.gov/cwa-404/2002-mitigation-regulatory-guidance-letter-rgl-02-2,Also uses FISRWG (2001) + Fischenich and Allen (2009). not many projects in this district where stream impacts are significant issue. ,-,.
115,115,Water Quality Monitoring Protocols for Streams and Rivers,"Pennsylvania Department of Environmental Protection, 2018",Medium,Public,.,.,.,PA DEP,2018,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,North Atlantic Division,Baltimore District,.,https://files.dep.state.pa.us/Water/Drinking%20Water%20and%20Facility%20Regulation/WaterQualityPortalFiles/Technical%20Documentation/MONITORING_BOOK.pdf,-,-,.
116,116,Ratios within the state of Delaware,Interagency Review Team,Medium,Public,.,.,.,Multiple agencies,2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,North Atlantic Division,Philadelphia District,.,.,-,-,.
117,117,Flood Hazard Area Control Act Rules,NJ DEP 2018,Medium,Public,.,.,.,NJ DEP,2018,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,New Jersey,North Atlantic Division,Philadelphia District,.,https://www.nj.gov/dep/landuse/download/fh_044.pdf,debits and credits,-,.
118,118,Pennsylvania SOP,PA DEP 2018,Medium,Public,.,.,.,PA DEP,2018,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,North Atlantic Division,Philadelphia District,.,.,"uses SOP, but no assessment component for determining stream functions, impacts, debits, credits",-,.
119,119,Assessment Methodology for Streams and Rivers (PA DEP),PA DEP 2021,Medium,Public,.,.,.,PA DEP,2018,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,North Atlantic Division,Philadelphia District,.,https://safe.menlosecurity.com/doc/docview/viewer/docNEBB99E7C0D602771328b97d7c0596fbb40c82d6769bd2f9df111a3c159cb777302fb7eb0cc27,"uses SOP, but no assessment component for det stream functions, impacts, debits, credits",-,.
120,120,South Carolina SOP,USACE 2011b,Medium,Public,.,.,.,USACE,2009,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,South Carolina,South Atlantic Division,Charleston,.,https://www.dnr.sc.gov/fish/fwfi/files/StreamAssessmentSOP.pdf,Charleston methodology currently used by several other South Atlantic Division districts,-,.
121,121,Uniform Mitigation Assessment Methodology (UMAM),FL DEP 2004,Medium,Public,.,.,.,FL DEP,2004,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Florida,South Atlantic Division,Jacksonville District,.,https://www.flrules.org/gateway/ChapterHome.asp?Chapter=62-345,-,-,.
122,122,Mobile Regulatory District Stream Mitigation SOP,USACE 2012,Medium,Public,.,.,.,USACE,2012,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Alabama and Mississippi,South Atlantic Division,Mobile,.,https://www.sam.usace.army.mil/Portals/46/docs/regulatory/docs/2012%20Final%20Stream%20SOP.pdf,-,-,.
123,123,Charleston District Guidelines for calculating stream credit and debit values,USACE 2010,Medium,Public,.,.,.,USACE,2010,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Louisiana, Arkansas, Mississippi",Mississippi Valley Division,"Vicksburg District, Memphis district",.,https://www.sac.usace.army.mil/Portals/43/docs/regulatory/Guidelines_for_Preparing_a_Compensatory_Mitigation_Planf.pdf,Charleston District Guidelines for calculating stream credit and debit values. Used in all states in district,-,.
124,124,Interagency Coordination Agreement (ICA) Chicago District,"USACE, 2016, and K. Chernich, 2020",Medium,Public,.,.,.,Multiple agencies,"2016, 2020",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Illinois and Indiana,Great Lakes and Ohio River Division,Chicago District,.,https://www.lrc.usace.army.mil/Portals/36/docs/regulatory/pdf/mitigation/ICA2017.pdf,ICA is for mitigation banking,-,.
125,125,Detroit District USACE Mitigation Guidelines and Requirements for Permit Applicants,USACE 2016,Medium,Public,.,.,.,USACE,2016,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Michigan,Great Lakes and Ohio River Division,Detroit District,.,https://www.lre.usace.army.mil/Portals/69/docs/regulatory/PDFs/MitigationGuidelines_16_May_2016.pdf,Clean Water Act Section 404 program. Recently developed guidance doc on mitigation requirements,-,.
126,126,Missouri Steam Mitigation Method,USACE 2013,Medium,Public,.,.,.,USACE,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Missouri,Mississippi Valley Division,Memphis District,.,https://www.mvm.usace.army.mil/Portals/51/docs/regulatory/May_2013_Missouri_Stream_Mitigation_Method.pdf,-,-,.
127,127,Little Rock Stream Mitigation Method,USACE 2011,Medium,Public,.,.,.,USACE,2011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Arkansas,Mississippi Valley Division,Memphis District,.,https://www.swl.usace.army.mil/Portals/50/docs/regulatory/Little%20Rock%20Stream%20Method.pdf,-,-,.
128,128,ISMM: Iowa Stream Mitigation Method,Iowa IRT 2019,Medium,Public,.,.,.,Iowa IRT,2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Iowa,Mississippi Valley Division,Rock Island District,.,https://usace.contentdm.oclc.org/utils/getfile/collection/p266001coll1/id/9006,-,-,.
129,129,Ohio Compensatory Mitigation Tool ,EPA (Anderson) (2010),Medium,Public,.,OH,.,OH EPA,2010,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ohio,-,-,-,-,being replaced by OSAM,-,.
130,130,Ohio Stream Assessment Method (OSAM),Ohio EPA (2024),Medium,Public,.,OH,.,OH EPA,2024,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ohio,.,.,https://epa.ohio.gov/divisions-and-offices/surface-water/permitting/wetland-and-stream-mitigation,https://epa.ohio.gov/divisions-and-offices/surface-water/permitting/wetland-and-stream-mitigation,replacement for Ohio Compensatory Mitigation Tool. Not yet finalized as of March 2024,-,.
131,131,West Virginia Stream Condition Index ,TetraTech 2000 ,Medium,Private,.,WV,.,Tetra Tech,2000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,https://ribits.ops.usace.army.mil/ords/f?p=107:150:15404527510661::NO::P150_DOCUMENT_ID:3416,-,-,.
132,132,New Zealand stream assessment method ,Rowe et al. 2009,Medium,Public,.,New Zealand,Yes,Multiple agencies,2009,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,https://link.springer.com/article/10.1007/s00267-009-9302-z#Sec2,"combination of mostly visual assessment or measurement of parameters, minimal but present desktop elements",-,.
133,133,Maryland Bioassessment Stream Survey ,USACE 2014,Medium,Public,.,.,.,USACE,2014,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,.
134,134,Proctor Creek Ecological Model: Phase 1,McKay et al. 2018a,Medium,Public,.,.,.,USACE,2018,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,https://erdc-library.erdc.dren.mil/jspui/handle/11681/29514,"scope and effect determinations, HGM wetland assessment model",-,.
135,135,Proctor Creek Ecological Model: Phase 2,McKay et al. 2018b,Medium,Public,.,.,.,USACE,2018,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,https://erdc-library.erdc.dren.mil/jspui/handle/11681/29515,"scope and effect determinations, HGM wetland assessment model",-,.
136,136,Tennessee Stream Mitigation Guidelines,Tennessee Department of Environment and Conservation (2019),Medium,Public,.,.,.,TDEC,2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Nashville, Memphis",.,https://www.tn.gov/content/dam/tn/environment/water/policy-and-guidance/dwr-nr-g-01-stream-mitigation-guidelines-052019.pdf,-,-,.
137,137,Savannah District's Standard Operating Procedure for Compensatory Mitigation (v. 2.0),USACE (2018),Medium,Public,.,.,.,USACE,2021,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,https://www.sas.usace.army.mil/Portals/61/docs/Regulatory/Mitigation%20Documents/SOP.pdf?ver=2018-07-03-144058-600,calculaiton of credits associated with proposed impacts or mitigation activities,-,.
138,138,State of Georgia SOP,GA DNR (2005),Medium,Public,.,.,.,Georgia DNR,2005,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,https://safe.menlosecurity.com/doc/docview/viewer/docN389018E6FC0277d755dc09f731ab35ae8bac883400624ae8af5e4b302702715dd9457fb65488,-,-,.
139,139,Georgia Adopt a Stream Program,GA DNR (2004),Medium,Public,.,.,.,Georgia DNR,2004,,S,S,S,DC,RE,RE,S,S,S,-,-,Hours,Low,Field,T2,Field data,"Data, descriptive",No,No,No,.,.,.,.,.,https://adoptastream.georgia.gov/data-forms-2,https://adoptastream.georgia.gov/data-forms-2/aas-manuals,-,-,.
140,140,North Carolina Stream identification method,GA DNR (2004),Medium,Public,.,.,.,Georgia DNR,2010,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,https://www.deq.nc.gov/water-quality/surface-water-protection/pdu/headwater-streams/nc-stream-id-manual-ver-3-1/download,-,-,.
141,141,Subjective Evaluation of Aquatic Habitats (Kansas),Kansas Department of Wildlife & Parks (2004),Low,Public,.,.,.,Kansas Department of Wildlife & Parks ,2004,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,"U.S. Army Corps of Engineers, Kansas City District “Draft Kansas Stream Mitigation Guidance,”
(rev. December 31, 2009)",.
142,142,Mississippi assessment methodology,.,Low,Public,.,.,.,.,2001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mississippi,Great Lakes and Ohio River Division,Nashville District,.,.,-,.,.
143,143,"Ratios in Idaho, Seattle District",.,Low,Public,.,.,.,USACE,2001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Idaho,NW Division,Walla Walla District,.,.,-,.,.
144,144,Texas ratio checklist,USACE 2017b,Low,Public,.,.,.,USACE,2017,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Texas,South Pacific Division,Albuquerque District,.,.,documentatino not found,.,.
145,145,PRM ratios in Illinois Coal Basin,.,Low,Public,.,.,.,.,2001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Illinois,Great Lakes and Ohio River Division,Louisville District,.,.,-,.,.
